time  field
8.48569714e-09  1.50000000e+06
8.49169834e-09  1.50000000e+06
8.49769954e-09  1.50000000e+06
8.50370074e-09  1.50000000e+06
8.50970194e-09  1.50000000e+06
8.51570314e-09  1.50000000e+06
8.52170434e-09  1.50000000e+06
8.52770554e-09  1.50000000e+06
8.53370674e-09  1.50000000e+06
8.53970794e-09  1.50000000e+06
8.54570914e-09  1.50000000e+06
8.55171034e-09  1.50000000e+06
8.55771154e-09  1.50000000e+06
8.56371274e-09  1.50000000e+06
8.56971394e-09  1.50000000e+06
8.57571514e-09  1.50000000e+06
8.58171634e-09  1.50000000e+06
8.58771754e-09  1.50000000e+06
8.59371874e-09  1.50000000e+06
8.59971994e-09  1.50000000e+06
8.60572114e-09  1.50000000e+06
8.61172234e-09  1.50000000e+06
8.61772354e-09  1.50000000e+06
8.62372474e-09  1.50000000e+06
8.62972595e-09  1.50000000e+06
8.63572715e-09  1.50000000e+06
8.64172835e-09  1.50000000e+06
8.64772955e-09  1.50000000e+06
8.65373075e-09  1.50000000e+06
8.65973195e-09  1.50000000e+06
8.66573315e-09  1.50000000e+06
8.67173435e-09  1.50000000e+06
8.67773555e-09  1.50000000e+06
8.68373675e-09  1.50000000e+06
8.68973795e-09  1.50000000e+06
8.69573915e-09  1.50000000e+06
8.70174035e-09  1.50000000e+06
8.70774155e-09  1.50000000e+06
8.71374275e-09  1.50000000e+06
8.71974395e-09  1.50000000e+06
8.72574515e-09  1.50000000e+06
8.73174635e-09  1.50000000e+06
8.73774755e-09  1.50000000e+06
8.74374875e-09  1.50000000e+06
8.74974995e-09  1.50000000e+06
8.75575115e-09  1.50000000e+06
8.76175235e-09  1.50000000e+06
8.76775355e-09  1.50000000e+06
8.77375475e-09  1.50000000e+06
8.77975595e-09  1.50000000e+06
8.78575715e-09  1.50000000e+06
8.79175835e-09  1.50000000e+06
8.79775955e-09  1.50000000e+06
8.80376075e-09  1.50000000e+06
8.80976195e-09  1.50000000e+06
8.81576315e-09  1.50000000e+06
8.82176435e-09  1.50000000e+06
8.82776555e-09  1.50000000e+06
8.83376675e-09  1.50000000e+06
8.83976795e-09  1.50000000e+06
8.84576915e-09  1.50000000e+06
8.85177035e-09  1.50000000e+06
8.85777155e-09  1.50000000e+06
8.86377275e-09  1.50000000e+06
8.86977395e-09  1.50000000e+06
8.87577516e-09  1.50000000e+06
8.88177636e-09  1.50000000e+06
8.88777756e-09  1.50000000e+06
8.89377876e-09  1.50000000e+06
8.89977996e-09  1.50000000e+06
8.90578116e-09  1.50000000e+06
8.91178236e-09  1.50000000e+06
8.91778356e-09  1.50000000e+06
8.92378476e-09  1.50000000e+06
8.92978596e-09  1.50000000e+06
8.93578716e-09  1.50000000e+06
8.94178836e-09  1.50000000e+06
8.94778956e-09  1.50000000e+06
8.95379076e-09  1.50000000e+06
8.95979196e-09  1.50000000e+06
8.96579316e-09  1.50000000e+06
8.97179436e-09  1.50000000e+06
8.97779556e-09  1.50000000e+06
8.98379676e-09  1.50000000e+06
8.98979796e-09  1.50000000e+06
8.99579916e-09  1.50000000e+06
9.00180036e-09  1.50000000e+06
9.00780156e-09  1.50000000e+06
9.01380276e-09  1.50000000e+06
9.01980396e-09  1.50000000e+06
9.02580516e-09  1.50000000e+06
9.03180636e-09  1.50000000e+06
9.03780756e-09  1.50000000e+06
9.04380876e-09  1.50000000e+06
9.04980996e-09  1.50000000e+06
9.05581116e-09  1.50000000e+06
9.06181236e-09  1.50000000e+06
9.06781356e-09  1.50000000e+06
9.07381476e-09  1.50000000e+06
9.07981596e-09  1.50000000e+06
9.08581716e-09  1.50000000e+06
9.09181836e-09  1.50000000e+06
9.09781956e-09  1.50000000e+06
9.10382076e-09  1.50000000e+06
9.10982196e-09  1.50000000e+06
9.11582316e-09  1.50000000e+06
9.12182436e-09  1.50000000e+06
9.12782557e-09  1.50000000e+06
9.13382677e-09  1.50000000e+06
9.13982797e-09  1.50000000e+06
9.14582917e-09  1.50000000e+06
9.15183037e-09  1.50000000e+06
9.15783157e-09  1.50000000e+06
9.16383277e-09  1.50000000e+06
9.16983397e-09  1.50000000e+06
9.17583517e-09  1.50000000e+06
9.18183637e-09  1.50000000e+06
9.18783757e-09  1.50000000e+06
9.19383877e-09  1.50000000e+06
9.19983997e-09  1.50000000e+06
9.20584117e-09  1.50000000e+06
9.21184237e-09  1.50000000e+06
9.21784357e-09  1.50000000e+06
9.22384477e-09  1.50000000e+06
9.22984597e-09  1.50000000e+06
9.23584717e-09  1.50000000e+06
9.24184837e-09  1.50000000e+06
9.24784957e-09  1.50000000e+06
9.25385077e-09  1.50000000e+06
9.25985197e-09  1.50000000e+06
9.26585317e-09  1.50000000e+06
9.27185437e-09  1.50000000e+06
9.27785557e-09  1.50000000e+06
9.28385677e-09  1.50000000e+06
9.28985797e-09  1.50000000e+06
9.29585917e-09  1.50000000e+06
9.30186037e-09  1.50000000e+06
9.30786157e-09  1.50000000e+06
9.31386277e-09  1.50000000e+06
9.31986397e-09  1.50000000e+06
9.32586517e-09  1.50000000e+06
9.33186637e-09  1.50000000e+06
9.33786757e-09  1.50000000e+06
9.34386877e-09  1.50000000e+06
9.34986997e-09  1.50000000e+06
9.35587117e-09  1.50000000e+06
9.36187237e-09  1.50000000e+06
9.36787357e-09  1.50000000e+06
9.37387477e-09  1.50000000e+06
9.37987598e-09  1.50000000e+06
9.38587718e-09  1.50000000e+06
9.39187838e-09  1.50000000e+06
9.39787958e-09  1.50000000e+06
9.40388078e-09  1.50000000e+06
9.40988198e-09  1.50000000e+06
9.41588318e-09  1.50000000e+06
9.42188438e-09  1.50000000e+06
9.42788558e-09  1.50000000e+06
9.43388678e-09  1.50000000e+06
9.43988798e-09  1.50000000e+06
9.44588918e-09  1.50000000e+06
9.45189038e-09  1.50000000e+06
9.45789158e-09  1.50000000e+06
9.46389278e-09  1.50000000e+06
9.46989398e-09  1.50000000e+06
9.47589518e-09  1.50000000e+06
9.48189638e-09  1.50000000e+06
9.48789758e-09  1.50000000e+06
9.49389878e-09  1.50000000e+06
9.49989998e-09  1.50000000e+06
9.50590118e-09  1.50000000e+06
9.51190238e-09  1.50000000e+06
9.51790358e-09  1.50000000e+06
9.52390478e-09  1.50000000e+06
9.52990598e-09  1.50000000e+06
9.53590718e-09  1.50000000e+06
9.54190838e-09  1.50000000e+06
9.54790958e-09  1.50000000e+06
9.55391078e-09  1.50000000e+06
