BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
Ar                                                              
SigloDataBase-LXCat-04Jun2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
          56   310.0       8.806      0.6884E+24  0.6253E+25  0.1030E+25  0.5801E+25  0.1889E-12  0.2555E-12  0.1426E-14  0.6680E-20  0.6617E-13  0.5896E-16  0.5356E-13  0.1255E-13   102.8       6.000       1.000    
          57   321.3       8.896      0.6854E+24  0.6238E+25  0.1029E+25  0.5834E+25  0.1901E-12  0.2566E-12  0.1541E-14  0.6999E-20  0.7077E-13  0.5982E-16  0.5699E-13  0.1371E-13   102.8       6.000       1.000    
          58   332.8       8.988      0.6824E+24  0.6225E+25  0.1027E+25  0.5869E+25  0.1912E-12  0.2577E-12  0.1664E-14  0.7325E-20  0.7559E-13  0.6069E-16  0.6058E-13  0.1495E-13   102.8       6.000       1.000    
          59   344.5       9.082      0.6794E+24  0.6212E+25  0.1025E+25  0.5905E+25  0.1924E-12  0.2589E-12  0.1792E-14  0.7656E-20  0.8066E-13  0.6157E-16  0.6432E-13  0.1628E-13   102.8       6.000       1.000    
          60   356.5       9.178      0.6765E+24  0.6201E+25  0.1024E+25  0.5944E+25  0.1935E-12  0.2600E-12  0.1927E-14  0.7992E-20  0.8596E-13  0.6246E-16  0.6821E-13  0.1769E-13   122.5       11.00       2.000    
          61   368.6       9.275      0.6737E+24  0.6191E+25  0.1022E+25  0.5984E+25  0.1946E-12  0.2611E-12  0.2069E-14  0.8334E-20  0.9152E-13  0.6336E-16  0.7226E-13  0.1919E-13   122.5       6.000       1.000    
          62   380.9       9.374      0.6709E+24  0.6182E+25  0.1020E+25  0.6026E+25  0.1958E-12  0.2622E-12  0.2219E-14  0.8682E-20  0.9733E-13  0.6428E-16  0.7647E-13  0.2080E-13   122.5       6.000       1.000    
          63   393.4       9.475      0.6681E+24  0.6174E+25  0.1019E+25  0.6071E+25  0.1969E-12  0.2632E-12  0.2375E-14  0.9034E-20  0.1034E-12  0.6521E-16  0.8085E-13  0.2250E-13   122.5       6.000       1.000    
          64   406.1       9.579      0.6654E+24  0.6168E+25  0.1017E+25  0.6117E+25  0.1980E-12  0.2643E-12  0.2538E-14  0.9392E-20  0.1098E-12  0.6616E-16  0.8539E-13  0.2431E-13   122.5       6.000       1.000    
          65   419.1       9.684      0.6628E+24  0.6162E+25  0.1016E+25  0.6165E+25  0.1991E-12  0.2654E-12  0.2709E-14  0.9755E-20  0.1164E-12  0.6712E-16  0.9010E-13  0.2624E-13   146.0       12.00       2.000    
          66   432.2       9.791      0.6602E+24  0.6158E+25  0.1014E+25  0.6216E+25  0.2002E-12  0.2664E-12  0.2888E-14  0.1012E-19  0.1233E-12  0.6810E-16  0.9498E-13  0.2828E-13   146.0       6.000       1.000    
          67   445.6       9.900      0.6576E+24  0.6155E+25  0.1013E+25  0.6268E+25  0.2013E-12  0.2675E-12  0.3075E-14  0.1049E-19  0.1305E-12  0.6909E-16  0.1000E-12  0.3044E-13   146.0       5.000       1.000    
          68   459.1       10.01      0.6551E+24  0.6153E+25  0.1011E+25  0.6323E+25  0.2024E-12  0.2685E-12  0.3270E-14  0.1087E-19  0.1381E-12  0.7010E-16  0.1053E-12  0.3274E-13   146.0       5.000       1.000    
          69   472.8       10.13      0.6526E+24  0.6153E+25  0.1010E+25  0.6380E+25  0.2034E-12  0.2695E-12  0.3472E-14  0.1125E-19  0.1459E-12  0.7112E-16  0.1107E-12  0.3516E-13   146.0       6.000       1.000    
          70   486.8       10.24      0.6502E+24  0.6154E+25  0.1008E+25  0.6439E+25  0.2045E-12  0.2705E-12  0.3683E-14  0.1164E-19  0.1541E-12  0.7216E-16  0.1163E-12  0.3773E-13   146.0       6.000       1.000    
          71   500.9       10.36      0.6478E+24  0.6156E+25  0.1007E+25  0.6500E+25  0.2056E-12  0.2715E-12  0.3903E-14  0.1203E-19  0.1626E-12  0.7322E-16  0.1220E-12  0.4044E-13   173.9       12.00       2.000    
          72   515.3       10.48      0.6454E+24  0.6159E+25  0.1005E+25  0.6563E+25  0.2066E-12  0.2725E-12  0.4131E-14  0.1242E-19  0.1714E-12  0.7430E-16  0.1280E-12  0.4331E-13   173.9       6.000       1.000    
          73   529.9       10.61      0.6431E+24  0.6164E+25  0.1004E+25  0.6629E+25  0.2077E-12  0.2735E-12  0.4368E-14  0.1282E-19  0.1806E-12  0.7540E-16  0.1342E-12  0.4633E-13   173.9       6.000       1.000    
          74   544.6       10.73      0.6408E+24  0.6170E+25  0.1002E+25  0.6698E+25  0.2087E-12  0.2745E-12  0.4614E-14  0.1322E-19  0.1901E-12  0.7652E-16  0.1405E-12  0.4952E-13   173.9       6.000       1.000    
          75   559.6       10.86      0.6386E+24  0.6177E+25  0.1001E+25  0.6768E+25  0.2098E-12  0.2754E-12  0.4869E-14  0.1363E-19  0.2000E-12  0.7765E-16  0.1470E-12  0.5288E-13   173.9       6.000       1.000    
          76   574.8       10.99      0.6364E+24  0.6186E+25  0.9992E+24  0.6841E+25  0.2108E-12  0.2764E-12  0.5133E-14  0.1403E-19  0.2102E-12  0.7881E-16  0.1537E-12  0.5643E-13   207.2       11.00       2.000    
          77   590.1       11.13      0.6342E+24  0.6196E+25  0.9977E+24  0.6917E+25  0.2118E-12  0.2773E-12  0.5407E-14  0.1445E-19  0.2209E-12  0.7999E-16  0.1606E-12  0.6016E-13   207.2       6.000       1.000    
          78   605.7       11.26      0.6321E+24  0.6207E+25  0.9961E+24  0.6995E+25  0.2129E-12  0.2783E-12  0.5689E-14  0.1486E-19  0.2319E-12  0.8119E-16  0.1677E-12  0.6409E-13   207.2       6.000       1.000    
          79   621.5       11.40      0.6300E+24  0.6220E+25  0.9946E+24  0.7075E+25  0.2139E-12  0.2792E-12  0.5982E-14  0.1528E-19  0.2433E-12  0.8241E-16  0.1750E-12  0.6822E-13   207.2       6.000       1.000    
          80   637.5       11.55      0.6279E+24  0.6235E+25  0.9931E+24  0.7158E+25  0.2149E-12  0.2801E-12  0.6284E-14  0.1570E-19  0.2552E-12  0.8365E-16  0.1825E-12  0.7256E-13   207.2       6.000       1.000    
          81   653.7       11.69      0.6258E+24  0.6250E+25  0.9916E+24  0.7244E+25  0.2159E-12  0.2810E-12  0.6595E-14  0.1612E-19  0.2674E-12  0.8492E-16  0.1902E-12  0.7712E-13   207.2       5.000       1.000    
