BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
CO2                                                             
cross_section_CO2_IST-Lisbon.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction CO2                          1.000    
          45   4.606      0.4486E-01  0.1776E+25  0.5295E+23  0.3049E+25  0.8270E+23  0.1018E-12  0.9901E-13   0.000       0.000       0.000       0.000      0.3768E-16  0.1575E-19  0.3769E-16   0.000       1.250       8.000       2.000    
          46   4.769      0.4566E-01  0.1780E+25  0.5400E+23  0.3061E+25  0.8495E+23  0.1018E-12  0.9881E-13   0.000       0.000       0.000       0.000      0.4048E-16  0.1769E-19  0.4048E-16   0.000       1.250       4.000       1.000    
          47   4.937      0.4652E-01  0.1785E+25  0.5528E+23  0.3076E+25  0.8747E+23  0.1017E-12  0.9853E-13   0.000       0.000       0.000       0.000      0.4351E-16  0.1977E-19  0.4351E-16   0.000       1.488       8.000       2.000    
          48   5.111      0.4741E-01  0.1789E+25  0.5648E+23  0.3091E+25  0.9016E+23  0.1016E-12  0.9830E-13   0.000       0.000       0.000       0.000      0.4675E-16  0.2191E-19  0.4675E-16   0.000       1.488       4.000       1.000    
          49   5.292      0.4835E-01  0.1794E+25  0.5777E+23  0.3107E+25  0.9311E+23  0.1015E-12  0.9804E-13   0.000       0.000       0.000       0.000      0.5024E-16  0.2416E-19  0.5024E-16   0.000       1.488       4.000       1.000    
          50   5.479      0.4934E-01  0.1799E+25  0.5924E+23  0.3127E+25  0.9643E+23  0.1014E-12  0.9776E-13   0.000       0.000       0.000       0.000      0.5401E-16  0.2649E-19  0.5403E-16   0.000       1.773       8.000       2.000    
          51   5.672      0.5040E-01  0.1805E+25  0.6073E+23  0.3147E+25  0.1000E+24  0.1013E-12  0.9746E-13   0.000       0.000       0.000       0.000      0.5807E-16  0.2898E-19  0.5809E-16   0.000       1.773       4.000       1.000    
          52   5.873      0.5156E-01  0.1812E+25  0.6256E+23  0.3173E+25  0.1041E+24  0.1012E-12  0.9706E-13   0.000       0.000       0.000       0.000      0.6250E-16  0.3165E-19  0.6246E-16   0.000       2.111       8.000       2.000    
          53   6.080      0.5275E-01  0.1819E+25  0.6429E+23  0.3197E+25  0.1084E+24  0.1010E-12  0.9671E-13   0.000       0.000       0.000       0.000      0.6724E-16  0.3441E-19  0.6719E-16   0.000       2.111       4.000       1.000    
          54   6.295      0.5403E-01  0.1826E+25  0.6616E+23  0.3224E+25  0.1133E+24  0.1009E-12  0.9632E-13   0.000       0.000       0.000       0.000      0.7236E-16  0.3731E-19  0.7231E-16   0.000       2.111       4.000       1.000    
