BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O3                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O                                                               
cross_section_Baohong_phelps.txt
--------------------------------------------------
N                                                               
cross_section_Baohong_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
A23    Mole fraction O3                           0.000    
A24    Mole fraction O                            0.000    
A25    Mole fraction N                            0.000    
          R#      A1         A16         A17    
         439   1.557       3.000       2.111    
         440   1.575       3.000       2.111    
         441   1.593       3.000       2.111    
         442   1.611       3.000       2.111    
         443   1.630       3.000       2.111    
         444   1.649       3.000       2.111    
         445   1.668       3.000       2.111    
         446   1.687       3.000       2.111    
         447   1.707       3.000       2.111    
         448   1.727       3.000       2.111    
         449   1.747       3.000       2.111    
         450   1.767       3.000       2.111    
         451   1.788       3.000       2.111    
         452   1.808       3.000       2.111    
         453   1.829       3.000       2.111    
         454   1.850       3.000       2.111    
         455   1.872       3.000       2.111    
         456   1.894       3.000       2.111    
         457   1.916       3.000       2.111    
         458   1.938       3.000       2.111    
         459   1.960       3.000       2.111    
         460   1.983       3.000       2.111    
         461   2.006       3.000       2.111    
         462   2.029       3.000       2.111    
         463   2.053       3.000       2.111    
         464   2.076       3.000       2.111    
         465   2.100       3.000       2.111    
         466   2.125       3.000       2.111    
         467   2.149       3.000       2.111    
         468   2.174       3.000       2.111    
         469   2.200       3.000       2.111    
         470   2.225       3.000       2.515    
         471   2.251       3.000       2.515    
         472   2.277       3.000       2.515    
         473   2.303       3.000       2.515    
         474   2.330       3.000       2.515    
         475   2.357       3.000       2.515    
         476   2.384       3.000       2.515    
         477   2.412       3.000       2.515    
         478   2.440       3.000       2.515    
         479   2.468       3.000       2.515    
         480   2.497       3.000       2.515    
         481   2.526       3.000       2.515    
         482   2.555       3.000       2.515    
         483   2.585       3.000       2.515    
         484   2.615       3.000       2.515    
         485   2.645       3.000       2.515    
         486   2.676       3.000       2.515    
         487   2.707       3.000       2.515    
         488   2.738       3.000       2.515    
         489   2.770       3.000       2.515    
         490   2.802       3.000       2.515    
         491   2.834       3.000       2.515    
         492   2.867       3.000       2.515    
         493   2.900       3.000       2.515    
         494   2.934       3.000       2.515    
         495   2.968       3.000       2.515    
         496   3.002       3.000       2.515    
         497   3.037       3.000       2.515    
         498   3.072       3.000       2.515    
         499   3.108       3.000       2.515    
         500   3.144       3.000       2.515    
         501   3.181       3.000       2.515    
         502   3.217       3.000       2.515    
         503   3.255       3.000       2.515    
         504   3.292       3.000       2.515    
         505   3.331       3.000       2.515    
         506   3.369       3.000       2.515    
         507   3.408       3.000       2.515    
